X,Y,Z,Value
0.0,25.0,20.0,14.033158
12.5,25.0,20.0,17.207672
25.0,25.0,20.0,21.264033
37.5,25.0,20.0,24.895827
50.0,25.0,20.0,26.324079
62.5,25.0,20.0,24.6581
75.0,25.0,20.0,20.804867
87.5,25.0,20.0,16.766607
100.0,25.0,20.0,14.076384
0.0,37.5,20.0,14.742027
12.5,37.5,20.0,17.631833
25.0,37.5,20.0,22.35547
37.5,37.5,20.0,27.497028
50.0,37.5,20.0,30.544492
62.5,37.5,20.0,29.777288
75.0,37.5,20.0,25.733279
87.5,37.5,20.0,20.578885
100.0,37.5,20.0,16.246509
0.0,50.0,20.0,14.958227
12.5,50.0,20.0,17.158199
25.0,50.0,20.0,21.761649
37.5,50.0,20.0,27.469205
50.0,50.0,20.0,31.496399
62.5,50.0,20.0,31.644498
75.0,50.0,20.0,28.041803
87.5,50.0,20.0,22.673453
100.0,50.0,20.0,17.535074
0.0,62.5,20.0,14.552999
12.5,62.5,20.0,15.859402
25.0,62.5,20.0,19.514346
37.5,62.5,20.0,24.543702
50.0,62.5,20.0,28.496424
62.5,62.5,20.0,29.253943
75.0,62.5,20.0,26.635318
87.5,62.5,20.0,22.126538
100.0,62.5,20.0,17.392337
0.0,75.0,20.0,13.762499
12.5,75.0,20.0,14.414253
25.0,75.0,20.0,16.803216
37.5,75.0,20.0,20.319081
50.0,75.0,20.0,23.249455
62.5,75.0,20.0,24.038399
75.0,75.0,20.0,22.4378
87.5,75.0,20.0,19.377556
100.0,75.0,20.0,15.982645
0.0,87.5,20.0,12.973345
12.5,87.5,20.0,13.567754
25.0,87.5,20.0,15.012937
37.5,87.5,20.0,16.913547
50.0,87.5,20.0,18.342918
62.5,87.5,20.0,18.52929
75.0,87.5,20.0,17.451124
87.5,87.5,20.0,15.711924
100.0,87.5,20.0,13.955736
0.0,100.0,20.0,12.429995
12.5,100.0,20.0,13.517941
25.0,100.0,20.0,14.599445
37.5,100.0,20.0,15.294636
50.0,100.0,20.0,15.261044
62.5,100.0,20.0,14.465763
75.0,100.0,20.0,13.305775
87.5,100.0,20.0,12.364359
100.0,100.0,20.0,12.006207
0.0,0.0,30.0,12.698886
12.5,0.0,30.0,15.501888
25.0,0.0,30.0,17.815154
37.5,0.0,30.0,18.763989
50.0,0.0,30.0,17.875638
62.5,0.0,30.0,15.482797
75.0,0.0,30.0,12.740306
87.5,0.0,30.0,10.993192
100.0,0.0,30.0,10.934712
0.0,12.5,30.0,13.472952
12.5,12.5,30.0,16.891149
25.0,12.5,30.0,20.430205
37.5,12.5,30.0,22.865591
50.0,12.5,30.0,22.999157
62.5,12.5,30.0,20.603026
75.0,12.5,30.0,16.885081
87.5,12.5,30.0,13.724963
100.0,12.5,30.0,12.341957
0.0,25.0,30.0,14.483304
12.5,25.0,30.0,18.226632
25.0,25.0,30.0,23.109131
37.5,25.0,30.0,27.568471
50.0,25.0,30.0,29.420943
62.5,25.0,30.0,27.528631
75.0,25.0,30.0,22.933307
87.5,25.0,30.0,18.029075
100.0,25.0,30.0,14.675399
0.0,37.5,30.0,15.349119
12.5,37.5,30.0,19.006057
25.0,37.5,30.0,24.843869
37.5,37.5,30.0,31.1015
50.0,37.5,30.0,34.721089
62.5,37.5,30.0,33.648641
75.0,37.5,30.0,28.60381
87.5,37.5,30.0,22.281517
100.0,37.5,30.0,17.054374
0.0,50.0,30.0,15.613187
12.5,50.0,30.0,18.640777
25.0,50.0,30.0,24.446251
37.5,50.0,30.0,31.357879
50.0,50.0,30.0,36.002309
62.5,50.0,30.0,35.821095
75.0,50.0,30.0,31.138667
87.5,50.0,30.0,24.510332
100.0,50.0,30.0,18.406637
0.0,62.5,30.0,15.11824
12.5,62.5,30.0,17.138891
25.0,62.5,30.0,21.831202
37.5,62.5,30.0,27.899693
50.0,62.5,30.0,32.385098
62.5,62.5,30.0,32.858415
75.0,62.5,30.0,29.307962
87.5,62.5,30.0,23.711795
100.0,62.5,30.0,18.14451
0.0,75.0,30.0,14.152722
12.5,75.0,30.0,15.297567
25.0,75.0,30.0,18.402691
37.5,75.0,30.0,22.635937
50.0,75.0,30.0,25.934058
62.5,75.0,30.0,26.526799
75.0,75.0,30.0,24.282898
87.5,75.0,30.0,20.471962
100.0,75.0,30.0,16.501919
0.0,87.5,30.0,13.188846
12.5,87.5,30.0,14.055567
25.0,87.5,30.0,15.896251
37.5,87.5,30.0,18.193036
50.0,87.5,30.0,19.825496
62.5,87.5,30.0,19.903514
75.0,87.5,30.0,18.470084
87.5,87.5,30.0,16.316312
100.0,87.5,30.0,14.242506
0.0,100.0,30.0,12.525197
12.5,100.0,30.0,13.733442
25.0,100.0,30.0,14.989667
37.5,100.0,30.0,15.859877
50.0,100.0,30.0,15.916003
62.5,100.0,30.0,15.072856
75.0,100.0,30.0,13.755921
87.5,100.0,30.0,12.631359
100.0,100.0,30.0,12.132894
0.0,0.0,40.0,12.5722
12.5,0.0,40.0,15.215118
25.0,0.0,40.0,17.295881
37.5,0.0,40.0,18.011816
50.0,0.0,40.0,17.004075
62.5,0.0,40.0,14.674932
75.0,0.0,40.0,12.14129
87.5,0.0,40.0,10.63789
100.0,0.0,40.0,10.766129
0.0,12.5,40.0,13.205951
12.5,12.5,40.0,16.286761
25.0,12.5,40.0,19.3358
37.5,12.5,40.0,21.280333
50.0,12.5,40.0,21.162277
62.5,12.5,40.0,18.900394
75.0,12.5,40.0,15.622613
87.5,12.5,40.0,12.976141
100.0,12.5,40.0,11.986656
0.0,25.0,40.0,14.033158
12.5,25.0,40.0,17.207672
25.0,25.0,40.0,21.264033
37.5,25.0,40.0,24.895827
50.0,25.0,40.0,26.324079
62.5,25.0,40.0,24.6581
75.0,25.0,40.0,20.804867
87.5,25.0,40.0,16.766607
100.0,25.0,40.0,14.076384
0.0,37.5,40.0,14.742027
12.5,37.5,40.0,17.631833
25.0,37.5,40.0,22.35547
37.5,37.5,40.0,27.497028
50.0,37.5,40.0,30.544492
62.5,37.5,40.0,29.777288
75.0,37.5,40.0,25.733279
87.5,37.5,40.0,20.578885
100.0,37.5,40.0,16.246509
0.0,50.0,40.0,14.958227
12.5,50.0,40.0,17.158199
25.0,50.0,40.0,21.761649
37.5,50.0,40.0,27.469205
50.0,50.0,40.0,31.496399
62.5,50.0,40.0,31.644498
75.0,50.0,40.0,28.041803
87.5,50.0,40.0,22.673453
100.0,50.0,40.0,17.535074
0.0,62.5,40.0,14.552999
12.5,62.5,40.0,15.859402
25.0,62.5,40.0,19.514346
37.5,62.5,40.0,24.543702
50.0,62.5,40.0,28.496424
62.5,62.5,40.0,29.253943
75.0,62.5,40.0,26.635318
87.5,62.5,40.0,22.126538
100.0,62.5,40.0,17.392337
0.0,75.0,40.0,13.762499
12.5,75.0,40.0,14.414253
25.0,75.0,40.0,16.803216
37.5,75.0,40.0,20.319081
50.0,75.0,40.0,23.249455
62.5,75.0,40.0,24.038399
75.0,75.0,40.0,22.4378
87.5,75.0,40.0,19.377556
100.0,75.0,40.0,15.982645
0.0,87.5,40.0,12.973345
12.5,87.5,40.0,13.567754
25.0,87.5,40.0,15.012937
37.5,87.5,40.0,16.913547
50.0,87.5,40.0,18.342918
62.5,87.5,40.0,18.52929
75.0,87.5,40.0,17.451124
87.5,87.5,40.0,15.711924
100.0,87.5,40.0,13.955736
0.0,100.0,40.0,12.429995
12.5,100.0,40.0,13.517941
25.0,100.0,40.0,14.599445
37.5,100.0,40.0,15.294636
50.0,100.0,40.0,15.261044
62.5,100.0,40.0,14.465763
75.0,100.0,40.0,13.305775
87.5,100.0,40.0,12.364359
100.0,100.0,40.0,12.006207
0.0,0.0,50.0,12.31403
12.5,0.0,50.0,14.63072
25.0,0.0,50.0,16.237673
37.5,0.0,50.0,16.478991
50.0,0.0,50.0,15.22795
62.5,0.0,50.0,13.028615
75.0,0.0,50.0,10.920578
87.5,0.0,50.0,9.913835
100.0,0.0,50.0,10.422579
0.0,12.5,50.0,12.66184
12.5,12.5,50.0,15.055102
25.0,12.5,50.0,17.105552
37.5,12.5,50.0,18.049796
50.0,12.5,50.0,17.418969
62.5,12.5,50.0,15.430663
75.0,12.5,50.0,13.049878
87.5,12.5,50.0,11.450143
100.0,12.5,50.0,11.2626
0.0,25.0,50.0,13.115821
12.5,25.0,50.0,15.131171
25.0,25.0,50.0,17.503976
37.5,25.0,50.0,19.449345
50.0,25.0,50.0,20.013098
62.5,25.0,50.0,18.808354
75.0,25.0,50.0,16.467397
87.5,25.0,50.0,14.193872
100.0,25.0,50.0,12.855672
0.0,37.5,50.0,13.504856
12.5,37.5,50.0,14.831352
25.0,37.5,50.0,17.284454
37.5,37.5,50.0,20.151609
50.0,37.5,50.0,22.033161
62.5,37.5,50.0,21.888003
75.0,37.5,50.0,19.883533
87.5,37.5,50.0,17.109154
100.0,37.5,50.0,14.600191
0.0,50.0,50.0,13.623509
12.5,50.0,50.0,14.136908
25.0,50.0,50.0,16.290798
37.5,50.0,50.0,19.544622
50.0,50.0,50.0,22.313976
62.5,50.0,50.0,23.133167
75.0,50.0,50.0,21.730822
87.5,50.0,50.0,18.930145
100.0,50.0,50.0,15.758949
0.0,62.5,50.0,13.401115
12.5,62.5,50.0,13.251978
25.0,62.5,50.0,14.792912
37.5,62.5,50.0,17.704656
50.0,62.5,50.0,20.57184
62.5,62.5,50.0,21.908523
75.0,62.5,50.0,21.188837
87.5,62.5,50.0,18.896001
100.0,62.5,50.0,15.859511
0.0,75.0,50.0,12.96728
12.5,75.0,50.0,12.61418
25.0,75.0,50.0,13.543706
37.5,75.0,50.0,15.597647
50.0,75.0,50.0,17.778605
62.5,75.0,50.0,18.967383
75.0,75.0,50.0,18.677743
87.5,75.0,50.0,17.147309
100.0,75.0,50.0,14.924437
0.0,87.5,50.0,12.534183
12.5,87.5,50.0,12.57366
25.0,87.5,50.0,13.212865
37.5,87.5,50.0,14.306123
50.0,87.5,50.0,15.321627
62.5,87.5,50.0,15.728809
75.0,87.5,50.0,15.374623
87.5,87.5,50.0,14.480264
100.0,87.5,50.0,13.371338
0.0,100.0,50.0,12.235986
12.5,100.0,50.0,13.078779
25.0,100.0,50.0,13.804226
37.5,100.0,50.0,14.142753
50.0,100.0,50.0,13.926326
62.5,100.0,50.0,13.228593
75.0,100.0,50.0,12.388438
87.5,100.0,50.0,11.820247
100.0,100.0,50.0,11.748037
0.0,0.0,60.0,12.115525
12.5,0.0,60.0,14.181381
25.0,0.0,60.0,15.424025
37.5,0.0,60.0,15.300414
50.0,0.0,60.0,13.862301
62.5,0.0,60.0,11.762774
75.0,0.0,60.0,9.981983
87.5,0.0,60.0,9.357115
100.0,0.0,60.0,10.158426
0.0,12.5,60.0,12.243477
12.5,12.5,60.0,14.108088
25.0,12.5,60.0,15.390733
37.5,12.5,60.0,15.565862
50.0,12.5,60.0,14.540769
62.5,12.5,60.0,12.762816
75.0,12.5,60.0,11.071722
87.5,12.5,60.0,10.276816
100.0,12.5,60.0,10.70588
0.0,25.0,60.0,12.410487
12.5,25.0,60.0,13.534567
25.0,25.0,60.0,14.612899
37.5,25.0,60.0,15.26159
50.0,25.0,60.0,15.160635
62.5,25.0,60.0,14.310531
75.0,25.0,60.0,13.132351
87.5,25.0,60.0,12.215716
100.0,25.0,60.0,11.917077
0.0,37.5,60.0,12.553606
12.5,37.5,60.0,12.678084
25.0,37.5,60.0,13.38539
37.5,37.5,60.0,14.503775
50.0,37.5,60.0,15.488867
62.5,37.5,60.0,15.821996
75.0,37.5,60.0,15.385709
87.5,37.5,60.0,14.441306
100.0,37.5,60.0,13.33435
0.0,50.0,60.0,12.597256
12.5,50.0,60.0,11.813862
25.0,50.0,60.0,12.084306
37.5,50.0,60.0,13.451473
50.0,50.0,60.0,15.253684
62.5,50.0,60.0,16.588873
75.0,50.0,60.0,16.878359
87.5,50.0,60.0,16.051945
100.0,50.0,60.0,14.393301
0.0,62.5,60.0,12.515442
12.5,62.5,60.0,11.247151
25.0,62.5,60.0,11.162639
37.5,62.5,60.0,12.446168
50.0,62.5,60.0,14.478692
62.5,62.5,60.0,16.260689
75.0,62.5,60.0,17.001081
87.5,62.5,60.0,16.412067
100.0,62.5,60.0,14.680934
0.0,75.0,60.0,12.355843
12.5,75.0,60.0,11.230119
25.0,75.0,60.0,11.037495
37.5,75.0,60.0,11.967374
50.0,75.0,60.0,13.572112
62.5,75.0,60.0,15.06832
75.0,75.0,60.0,15.786665
87.5,75.0,60.0,15.432489
100.0,75.0,60.0,14.11079
0.0,87.5,60.0,12.196515
12.5,87.5,60.0,11.809309
25.0,87.5,60.0,11.828803
37.5,87.5,60.0,12.301296
50.0,87.5,60.0,12.998582
62.5,87.5,60.0,13.575541
75.0,87.5,60.0,13.778019
87.5,87.5,60.0,13.533251
100.0,87.5,60.0,12.921999
0.0,100.0,60.0,12.086815
12.5,100.0,60.0,12.741111
25.0,100.0,60.0,13.192788
37.5,100.0,60.0,13.257079
50.0,100.0,60.0,12.900072
62.5,100.0,60.0,12.277343
75.0,100.0,60.0,11.683104
87.5,100.0,60.0,11.401885
100.0,100.0,60.0,11.549533

